alpha,beta,gamma,AUC,CST,CST_equal,CST_base,loss_start_epoch,loss_end_epoch
0.9,0.8,1.0,0.8705,,2.66457,1.84999,1.78269,0.9737476203976932,0.3627155983469527
0.9,0.9,0,0.8990,,2.42880,1.36954,1.11401,0.7426540636070361,0.16702948776690996
0.9,0.9,0.001,0.8862,,2.42148,1.37169,1.13582,0.7428381786462528,0.17890300958461863
0.9,0.9,0.1,0.8262,,2.10428,1.24479,0.83371,0.7608146036498927,0.15785157761130922
0.9,0.9,0.2,0.8450,,2.03293,1.18201,0.79353,0.7789731738371716,0.1755935993008618
0.9,0.9,0.3,0.8422,,2.05662,1.24151,0.87940,0.7971317534837989,0.19475445862123836
0.9,0.9,0.4,0.8441,,2.05061,1.23465,0.89944,0.8152895959461993,0.21513093414072307
0.9,0.9,0.5,0.8386,,1.97745,1.14068,0.84729,0.8334468007087708,0.23758098007430892
0.9,0.9,0.6,0.8353,,2.06858,1.25691,1.01934,0.8516039171661741,0.26113945342486133
0.9,0.9,0.7,0.8354,,2.22487,1.43898,1.26310,0.8697623190200469,0.28573507616066307
0.9,0.9,0.8,0.8437,,2.35706,1.57940,1.46061,0.887922352987759,0.3072774044504243
0.9,0.9,0.9,0.8578,,2.49080,1.69646,1.63269,0.9060814035594517,0.3291736417680952
0.9,0.9,0.99,0.8602,,2.48206,1.66057,1.60774,0.9224261775330663,0.3461063295683418
0.9,0.9,1.0,0.8624,,2.47755,1.64605,1.59917,0.924231417013569,0.34880013200912097
0.9,0.99,0,0.8857,,2.43718,1.34260,1.12802,0.6980946434844819,0.15357761934224928
0.9,0.99,0.001,0.8697,,2.39523,1.34182,1.14448,0.6982790115612708,0.16721277211677715
0.9,0.99,0.1,0.7906,,2.18015,1.30551,0.89593,0.7162553759390863,0.13901587666370935
0.9,0.99,0.2,0.8275,,2.02095,1.16467,0.79328,0.7344136998608265,0.1588952806723666
0.9,0.99,0.3,0.8296,,2.04316,1.23769,0.89229,0.7525712170506298,0.17820549406265762
0.9,0.99,0.4,0.8248,,2.01749,1.20015,0.87841,0.7707313943597194,0.19725480228259393
0.9,0.99,0.5,0.8250,,1.96830,1.14243,0.85525,0.7888875010854173,0.2190088121013882
0.9,0.99,0.6,0.8217,,1.95308,1.12831,0.89146,0.8070442099308947,0.24449984050742993
0.9,0.99,0.7,0.8270,,2.12329,1.32339,1.13800,0.8252048546715401,0.26583555934663505
0.9,0.99,0.8,0.8340,,2.24826,1.48121,1.35218,0.8433656846756759,0.2893210980567554
0.9,0.99,0.9,0.8427,,2.34230,1.58906,1.52194,0.8615232800663432,0.3087961300199799
0.9,0.99,0.99,0.8498,,2.42443,1.64663,1.62869,0.8778651736145948,0.3312117513554713
0.9,0.99,1.0,0.8529,,2.46360,1.68327,1.67475,0.8796700158562071,0.33391103097401403
0.9,1.0,0,0.8856,,2.43888,1.35058,1.14020,0.6931435724332378,0.15176327655560481
0.9,1.0,0.001,0.8690,,2.39979,1.34728,1.15443,0.6933279942563249,0.16586839397604988
0.9,1.0,0.1,0.7904,,2.16193,1.30389,0.90055,0.7113044624719886,0.13834996409949363
0.9,1.0,0.2,0.8258,,2.03992,1.19428,0.82601,0.7294633827626544,0.15741266908142565
0.9,1.0,0.3,0.8240,,2.04589,1.22050,0.87555,0.7476214191954452,0.17643481690513863
0.9,1.0,0.4,0.8275,,2.03615,1.22676,0.90412,0.7657801891039684,0.1947392903678153
0.9,1.0,0.5,0.8198,,1.96612,1.14302,0.85646,0.7839362368699772,0.21732695380560013
0.9,1.0,0.6,0.8193,,1.96068,1.13331,0.89643,0.8020931889712004,0.24202490970828278
0.9,1.0,0.7,0.8239,,2.10837,1.31479,1.13660,0.8202535592832471,0.26674507516692414
0.9,1.0,0.8,0.8298,,2.23698,1.47282,1.35092,0.8384082264680922,0.28731985399591914
0.9,1.0,0.9,0.8393,,2.36676,1.61944,1.55802,0.8565729867240348,0.31070909457662493
0.9,1.0,0.99,0.8534,,2.44772,1.67486,1.66261,0.8729139011759711,0.3302360045361669
0.9,1.0,1.0,0.8527,,2.48003,1.70609,1.70007,0.8747192325626438,0.33339037091158014
